Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Talking About This (Post) by action type - comment,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Consumers,Lifetime Post Consumptions,Lifetime Post consumers by type - link clicks,Lifetime Post consumers by type - other clicks,Lifetime Post consumers by type - photo view,Lifetime Post consumers by type - video play,Lifetime Post Consumptions by type - link clicks,Lifetime Post Consumptions by type - other clicks,Lifetime Post Consumptions by type - photo view,Lifetime Post Consumptions by type - video play,Lifetime Negative feedback,Lifetime Negative Feedback from Users,Lifetime Negative feedback - hide_all_clicks,Lifetime Negative feedback - hide_clicks,Lifetime Negative feedback - unlike_page_clicks,Lifetime Negative Feedback from Users by Type - hide_all_clicks,Lifetime Negative Feedback from Users by Type - hide_clicks,Lifetime Negative Feedback from Users by Type - unlike_page_clicks,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Average time video viewed,Lifetime Organic views to 95%,Lifetime Organic views to 95%,Lifetime Paid views to 95%,Lifetime Paid views to 95%,Lifetime Video length,Lifetime Percentage of viewers at each interval (video post) - 0,Lifetime Percentage of viewers at each interval (video post) - 1,Lifetime Percentage of viewers at each interval (video post) - 2,Lifetime Percentage of viewers at each interval (video post) - 3,Lifetime Percentage of viewers at each interval (video post) - 4,Lifetime Percentage of viewers at each interval (video post) - 5,Lifetime Percentage of viewers at each interval (video post) - 6,Lifetime Percentage of viewers at each interval (video post) - 7,Lifetime Percentage of viewers at each interval (video post) - 8,Lifetime Percentage of viewers at each interval (video post) - 9,Lifetime Percentage of viewers at each interval (video post) - 10,Lifetime Percentage of viewers at each interval (video post) - 11,Lifetime Percentage of viewers at each interval (video post) - 12,Lifetime Percentage of viewers at each interval (video post) - 13,Lifetime Percentage of viewers at each interval (video post) - 14,Lifetime Percentage of viewers at each interval (video post) - 15,Lifetime Percentage of viewers at each interval (video post) - 16,Lifetime Percentage of viewers at each interval (video post) - 17,Lifetime Percentage of viewers at each interval (video post) - 18,Lifetime Percentage of viewers at each interval (video post) - 19,Lifetime Percentage of viewers at each interval (video post) - 20,Lifetime Percentage of viewers at each interval (video post) - 21,Lifetime Percentage of viewers at each interval (video post) - 22,Lifetime Percentage of viewers at each interval (video post) - 23,Lifetime Percentage of viewers at each interval (video post) - 24,Lifetime Percentage of viewers at each interval (video post) - 25,Lifetime Percentage of viewers at each interval (video post) - 26,Lifetime Percentage of viewers at each interval (video post) - 27,Lifetime Percentage of viewers at each interval (video post) - 28,Lifetime Percentage of viewers at each interval (video post) - 29,Lifetime Percentage of viewers at each interval (video post) - 30,Lifetime Percentage of viewers at each interval (video post) - 31,Lifetime Percentage of viewers at each interval (video post) - 32,Lifetime Percentage of viewers at each interval (video post) - 33,Lifetime Percentage of viewers at each interval (video post) - 34,Lifetime Percentage of viewers at each interval (video post) - 35,Lifetime Percentage of viewers at each interval (video post) - 36,Lifetime Percentage of viewers at each interval (video post) - 37,Lifetime Percentage of viewers at each interval (video post) - 38,Lifetime Percentage of viewers at each interval (video post) - 39,Lifetime Percentage of viewers at each interval (video post) - 40,Lifetime Organic Video Views,Lifetime Organic Video Views,Lifetime Paid Video Views,Lifetime Paid Video Views
138832254624_10154959804584625,https://www.facebook.com/ColumbiaMissourian/posts/10154959804584625,"&quot;Prince was actually one of the few artists of the period that I enjoyed, because once again through the eclecticism of the music, to me, it justified my own tastes,&quot; Hitt Records employee Eric Butterwick said Thursday after learning of the music legend's death. http://bit.ly/22Tn80A",Link,,,4/22/16 7:23, ,1110,1110,0,1888,1888,0,18,,3,,,3,,16,17,10,6,,,11,6,,,1,1,,1,,,1,,1858,1086,0,0,15,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154959670589625,https://www.facebook.com/ColumbiaMissourian/posts/10154959670589625:0,Today's front page features FFA Convention; Foley on student unionization; and Prince's inspiration. Check out our e-edition: http://bit.ly/1r3dGwb,Photo,,,4/22/16 6:07, ,1512,1512,0,3524,3524,0,6,,,,,,,6,9,1,,6,,1,,8,,0,0,,,,,,,3516,1503,0,0,5,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138832254624_10154959461664625,https://www.facebook.com/ColumbiaMissourian/posts/10154959461664625,"At Thursday's Faculty Council meeting MU Interim Chancellor Hank Foley said graduate students should be &quot;students first, workers second&quot; after graduate students voted to unionize. He also addressed the budget deficit and projected enrollment. http://bit.ly/1SzrFWB",Link,,,4/22/16 4:11, ,2246,2246,0,3699,3699,0,97,5,2,,5,2,,96,124,59,48,,,65,59,,,1,1,,1,,,1,,3451,2096,0,0,92,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154958702889625,https://www.facebook.com/ColumbiaMissourian/posts/10154958702889625,"When Linda Lafontaine was in high school in the 1960s — before Title IX — athletic opportunities for women were almost nonexistent. Now, at 65, Lafontaine started the group Older Women On Weights and is in training to set a world record at the World Weightlifting Championships this summer.  http://bit.ly/1NEqptV",Link,,,4/21/16 20:11, ,1655,1655,0,2772,2772,0,46,,19,4,,19,4,32,44,19,18,,,21,23,,,0,0,,,,,,,2415,1428,0,0,33,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154958556269625,https://www.facebook.com/ColumbiaMissourian/posts/10154958556269625,"A Missouri House bill would change the name of U.S. 63 in two sections to memorialize fallen servicemen previously honored on a monument. The servicemen, Navy Lieutenant Patrick Connor and Army Specialist Steven Paul Farnen, were killed in the Persian Gulf War. http://bit.ly/1WIRraQ",Link,,,4/21/16 18:15, ,1024,1024,0,1616,1616,0,18,,4,,,4,,16,17,8,9,,,8,9,,,0,0,,,,,,,1587,1005,0,0,18,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154958389179625,https://www.facebook.com/ColumbiaMissourian/posts/10154958389179625,"&quot;It doesn't reflect the Missouri I know,&quot; said Michael Sam, former Mizzou defensive end. Sam spoke out against a proposed Missouri bill that would let businesses deny services for same-sex weddings.  
http://bit.ly/1NEbhfU

*This post has been edited to correct Sam's position on the football team.",Link,,,4/21/16 16:00, ,1900,1900,0,3108,3108,0,101,4,20,,7,21,,87,127,16,80,,,16,111,,,1,1,,1,,,1,,2798,1650,0,0,94,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154958212974625,https://www.facebook.com/ColumbiaMissourian/posts/10154958212974625,"More soccer could be coming Columbia's way. Columbia Parks and Recreation plans to build two more fields at the Gans Creek Recreation Area, but they want to know what residents think about an additonal concession and restroom facility for the fields.  http://bit.ly/1Wg3OdW",Link,,,4/21/16 14:10, ,754,754,0,1242,1242,0,9,,1,,,1,,8,9,4,5,,,4,5,,,0,0,,,,,,,1234,753,0,0,9,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154958050539625,https://www.facebook.com/ColumbiaMissourian/posts/10154958050539625,"For thousands of college students who receive a script for Adderall, the drug can mean a saved academic career. For others it can induce depression, anxiety and psychosis.",Link,,,4/21/16 13:05, ,2929,2929,0,5422,5422,0,174,,9,4,,9,4,169,229,106,87,,,117,112,,,2,2,,2,,,2,,4971,2696,0,0,163,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154957930354625,https://www.facebook.com/ColumbiaMissourian/posts/10154957930354625,"Dala Dunn began scrapbooking 15 years ago as a way to capture memories and retell her stories. If you're not a fan of scrapbooking, Dunn gives a few reasons why you might want to reconsider.",Link,,,4/21/16 12:05, ,826,826,0,1371,1371,0,10,,3,1,,3,1,9,11,8,2,,,8,3,,,0,0,,,,,,,1303,782,0,0,10,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154957817614625,https://www.facebook.com/ColumbiaMissourian/posts/10154957817614625,"Despite remaining on the MU payroll, former Chancellor Loftin said he is still uncertain of his current job title.",Link,,,4/21/16 11:05, ,199,199,0,296,296,0,9,,,,,,,9,11,8,2,,,8,3,,,0,0,,,,,,,290,196,0,0,9,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154957682539625,https://www.facebook.com/ColumbiaMissourian/posts/10154957682539625,"For the last four years, Sharif Abdul-Hakim has worked to fill the need for halal desserts in Columbia. His solution is the honey bean pie, a dessert widely enjoyed by many individuals in the African-American Muslim community.",Link,,,4/21/16 10:05, ,2033,2033,0,3318,3318,0,62,3,18,1,4,18,1,51,63,23,32,,,27,36,,,0,0,,,,,,,2520,1487,0,0,43,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154957598324625,https://www.facebook.com/ColumbiaMissourian/posts/10154957598324625,Sophomore forward Jakeenan Gant has officially asked to be released from the Missouri men's basketball program. Gant was the last remaining player from coach Kim Anderson's first recruiting class.,Link,,,4/21/16 9:16, ,1801,1801,0,3056,3056,0,71,1,4,2,1,4,2,68,86,38,38,,,39,47,,,0,0,,,,,,,2708,1578,0,0,57,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154957482219625,https://www.facebook.com/ColumbiaMissourian/posts/10154957482219625,"Gregory McClain, a former University Hospital surgeon, and his family held a news conference Wednesday to refute stalking allegations raised against him earlier this month. &quot;My husband's name in the newspaper negatively is not the norm — it never was,&quot; said his wife, Sybil McClain. http://bit.ly/1SlKd7d",Link,,,4/21/16 8:01, ,2019,2019,0,3369,3369,0,107,,,,,,,107,122,93,19,,,97,25,,,1,1,,1,,,1,,3363,2014,0,0,107,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154957304409625,https://www.facebook.com/ColumbiaMissourian/posts/10154957304409625:0,Today's front page features Loftin's position; UM System budget; and grad student union. Check out our e-edition: http://bit.ly/1NCp6vi,Photo,,,4/21/16 6:07, ,1545,1545,0,3950,3950,0,9,,,,,,,9,17,,1,8,,,1,16,,0,0,,,,,,,3940,1535,0,0,7,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138832254624_10154957107074625,https://www.facebook.com/ColumbiaMissourian/posts/10154957107074625,"UM System budget cuts for the upcoming fiscal year will be $9.75 million smaller than previously thought, state legislators decided Wednesday. The system will also be eligible for a 4 percent performance-based funding increase. http://bit.ly/1SlFTF5",Link,,,4/21/16 4:06, ,2164,2164,0,3456,3456,0,105,1,8,1,1,9,1,101,111,46,60,,,49,62,,,1,1,,1,,,1,,3065,1902,0,0,95,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154956363489625,https://www.facebook.com/ColumbiaMissourian/posts/10154956363489625,"Former MU chancellor R. Bowen Loftin says he has been working for the university, despite the fact that his agreed upon position with the Tiger Institute of Health never materialized. http://bit.ly/1WeRquB",Link,,,4/20/16 19:02, ,2107,2107,0,3487,3487,0,99,,5,,,5,,97,120,67,41,,,72,48,,,0,0,,,,,,,3418,2074,0,0,99,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154956338004625,https://www.facebook.com/ColumbiaMissourian/posts/10154956338004625,"Former Missouri swimmer Dominique Bouchard's training has been long, lonely and brutal, but Bouchard has made the necessary adjustments to earn a spot to swim in the 2016 Summer Olympics in Rio de Janeiro. http://bit.ly/1r10cky",Link,,,4/20/16 18:45, ,2052,2052,0,3213,3213,0,50,2,17,4,2,17,4,34,42,22,16,,,23,19,,,0,0,,,,,,,2355,1454,0,0,39,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154956145549625,https://www.facebook.com/ColumbiaMissourian/posts/10154956145549625,"Sen. Kurt Schaefer has thrown Missouri's relationship with Planned Parenthood into the national spotlight, columnist David Rosman writes.",Link,,,4/20/16 16:33, ,1168,1168,0,1945,1945,0,36,,2,,,2,,36,47,29,10,,,33,14,,,1,1,,1,,,1,,1907,1138,0,0,36,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154955946644625,https://www.facebook.com/ColumbiaMissourian/posts/10154955946644625,"Special educator Angela Rogers challenges the thinking that special education is a lifelong sentence for a student. &quot;I have had the extreme pleasure of dismissing several students over the course of my career,&quot; Rogers said.",Link,,,4/20/16 14:31, ,285,285,0,547,547,0,8,,,,,,,8,10,4,5,,,4,6,,,0,0,,,,,,,520,269,0,0,8,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154955795029625,https://www.facebook.com/ColumbiaMissourian/posts/10154955795029625,Sixth-grader Kael Miranda is the best speller in Columbia and knows words like &quot;rhytidome&quot; and &quot;wiesenboden.&quot; You can watch him compete in the ESPN-televised Scripps National Spelling Bee next month!,Link,,,4/20/16 13:23, ,1280,1280,0,2010,2010,0,22,,10,1,,10,1,13,15,9,5,,,10,5,,,0,0,,,,,,,1860,1161,0,0,21,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154955644159625,https://www.facebook.com/ColumbiaMissourian/posts/10154955644159625,"This year's annual Missourian Progress Edition is based on the theme of race in our community. Rather than focusing on obstacles and problems, these stories focus on progress and finding solutions. http://bit.ly/1WeaNUw",Link,,,4/20/16 12:05, ,308,308,0,511,511,0,11,,3,,,3,,8,9,7,1,,,8,1,,,0,0,,,,,,,499,298,0,0,11,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154955510379625,https://www.facebook.com/ColumbiaMissourian/posts/10154955510379625,"Having participated in the Columbia Area Earth Day Festival for more than 15 years, Jeni Schierbecker was surprised to find that most people don't recycling. She said at last year's festival that she hopes people will learn to separate their trash and recycle when possible.",Link,,,4/20/16 11:03, ,218,218,0,344,344,0,4,,,,,,,4,4,4,,,,4,,,,0,0,,,,,,,331,205,0,0,4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154955407584625,https://www.facebook.com/ColumbiaMissourian/posts/10154955407584625,"Over 1,000 students in Columbia Public Schools do not use English as their first language. The English Language Learners program aims to teach these students the language in a school setting while keeping them included in the whole classroom's activities. http://bit.ly/1ph3FKg",Link,,,4/20/16 10:06, ,1362,1362,0,2168,2168,0,36,1,12,1,2,12,1,28,67,9,22,,,9,58,,,1,23,,1,,,23,,1868,1162,0,0,24,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154955174979625,https://www.facebook.com/ColumbiaMissourian/posts/10154955174979625,TED is coming to town. Faculty and students will be tackling topics from activism to world news on Saturday at the second TEDxMU Summit.  http://bit.ly/1SudNgf,Link,,,4/20/16 8:13, ,85,85,0,122,122,0,1,,,,,,,1,2,,1,,,,2,,,0,0,,,,,,,110,74,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154954942954625,https://www.facebook.com/ColumbiaMissourian/posts/10154954942954625:0,"Today's front page features springtime gardening, a sixth-grader's path to the Scripps National Spelling Bee, and MU graduate students voting to unionize. Read our e-edition here: http://bit.ly/1qYfbLV",Photo,,,4/20/16 6:11, ,2036,2036,0,5966,5966,0,11,,2,,,2,,10,15,1,3,6,,1,4,10,,0,0,,,,,,,5950,2022,0,0,9,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138832254624_10154954786294625,https://www.facebook.com/ColumbiaMissourian/posts/10154954786294625,Hundreds of graduate student workers came out Monday and Tuesday to vote on whether the Coalition of Graduate Workers could represent them in collective bargaining. 84 percent of those who voted are in favor of that. http://bit.ly/1NAvZNV,Link,,,4/20/16 4:34, ,2158,2158,0,3328,3328,0,69,,19,4,,20,4,58,63,38,22,,,40,23,,,0,0,,,,,,,2569,1628,0,0,50,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154954746179625,https://www.facebook.com/ColumbiaMissourian/posts/10154954746179625,Get your TED on this Saturday - MU is hosting a &quot;Shaping the Future&quot; TEDxMU Summit. http://bit.ly/1VimH0L,Status,,,4/20/16 4:07, ,100,100,0,139,139,0,1,,1,,,1,,0,0,,,,,,,,,0,0,,,,,,,130,93,0,0,1,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138832254624_10154954091639625,https://www.facebook.com/ColumbiaMissourian/posts/10154954091639625,"Enjoy some springtime photos of a delightful couple romping around in their garden. Laura and Kurt Kingsley are self-proclaimed ameteurs, but they seem to enjoy experimenting with different plant varieties to save their garden from weeds. http://bit.ly/1WdsUtZ",Link,,,4/19/16 20:08, ,1117,1117,0,1920,1920,0,24,,4,,,4,,21,29,15,8,,,15,14,,,1,3,,1,,,3,,1884,1088,0,0,24,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154953968279625,https://www.facebook.com/ColumbiaMissourian/posts/10154953968279625,A former MU physician charged with aggravated stalking had his bond reduced to a quarter of the original amount. He's also expected to speak publicly about the charges on Wednesday. http://bit.ly/1WEam6B,Link,,,4/19/16 18:33, ,2261,2261,0,3871,3871,0,157,1,3,2,2,3,2,154,179,145,17,,,151,28,,,1,3,,1,,,3,,3687,2155,0,0,150,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154953775609625,https://www.facebook.com/ColumbiaMissourian/posts/10154953775609625,"Columnist Carl Kenney remarks on the impact of MU’s job cuts, and he describes how these cuts affects Columbia on social and economic levels.",Link,,,4/19/16 16:07, ,1547,1547,0,2541,2541,0,71,1,2,,1,2,,70,89,42,37,,,42,47,,,0,0,,,,,,,2516,1539,0,0,71,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154953554059625,https://www.facebook.com/ColumbiaMissourian/posts/10154953554059625,The president and CEO of Planned Parenthood for St. Louis Region and Southwest wants to subpoena an ex-Missouri Senate Head to testify in her defense.,Link,,,4/19/16 14:00, ,852,852,0,1422,1422,0,18,,,,,,,18,45,11,8,,,12,33,,,1,14,,1,,,14,,1413,843,0,0,18,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154953423624625,https://www.facebook.com/ColumbiaMissourian/posts/10154953423624625,"Whether it was your first kiss, favorite summer hangout or where you found the best food in town, tell Vox Magazine about your favorite Columbia moments.",Link,,,4/19/16 13:00, ,1597,1597,0,2628,2628,0,48,,6,2,,6,2,42,62,28,15,,,28,34,,,1,14,,1,,,14,,2276,1374,0,0,43,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154953295269625,https://www.facebook.com/ColumbiaMissourian/posts/10154953295269625,"MU Student Health Center executive director Susan Even confirmed a case of mumps in an MU residence hall Monday. She says the student is no longer contagious, and it appears to be an isolated incident.",Link,,,4/19/16 12:00, ,1610,1610,0,2700,2700,0,71,2,1,1,2,1,1,69,111,30,46,,,33,78,,,1,6,,1,,,6,,2548,1497,0,0,67,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154953153969625,https://www.facebook.com/ColumbiaMissourian/posts/10154953153969625,Members of the Missouri House committee have expressed concern about the creation of an eight-person oversight committee to value the organization of the UM system. The proposed legislation to form the committee has already passed through the Senate.,Link,,,4/19/16 11:00, ,1418,1418,0,2418,2418,0,58,,1,2,,1,2,57,95,36,35,,,39,56,,,1,6,,1,,,6,,1918,1145,0,0,28,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154953010824625,https://www.facebook.com/ColumbiaMissourian/posts/10154953010824625,"German-born Fabian Schwingenschlogl won Missouri its first national title on April 16. His journey to swimming for MU has been a long one, with many stops along the way.",Link,,,4/19/16 10:01, ,411,411,0,559,559,0,8,,4,,,4,,5,8,3,4,,,3,5,,,0,0,,,,,,,374,279,0,0,5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154952801789625,https://www.facebook.com/ColumbiaMissourian/posts/10154952801789625,"Rock Bridge High School senior Molly Klein will play soccer at Columbia College next year, joining forces with her dad, coach John Klein. http://bit.ly/1WCjEQA",Status,,,4/19/16 8:10, ,151,151,0,263,263,0,4,,,1,,,1,3,3,,3,,,,3,,,0,0,,,,,,,159,82,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138832254624_10154952563434625,https://www.facebook.com/ColumbiaMissourian/posts/10154952563434625:0,"Today's front page features plans for a new park near Route K, a legislative resolution affecting the UM System, and the Ecuador earthquake. Check out our e-edition: http://bit.ly/22JADzT",Photo,,,4/19/16 6:00, ,1732,1732,0,5176,5176,0,7,,1,,,1,,6,13,1,1,5,,1,1,11,,0,0,,,,,,,5151,1704,0,0,5,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138832254624_10154952378799625,https://www.facebook.com/ColumbiaMissourian/posts/10154952378799625,"Jordan Geist, a junior college transfer, committed to Missouri via his Twitter account Friday. The Tigers made the signing official Monday. http://bit.ly/1Nk45uO",Link,,,4/19/16 4:06, ,1205,1205,0,1852,1852,0,16,,2,,,2,,14,24,10,5,,,10,14,,,0,0,,,,,,,1783,1145,0,0,16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154951785119625,https://www.facebook.com/ColumbiaMissourian/posts/10154951785119625,"After traveling from a German university to Western Kentucky to swim, Fabian Schwingenschlogl, a German international student, was met with disappointment after the university's swim team was suspended in 2015. Now, he has found success at MU in swimming. Schwingenschlogl won a national championship title in the 100 breaststroke by swimming it in 51.29 seconds. http://bit.ly/22JqNhD",Link,,,4/18/16 20:00, ,2222,2222,0,3667,3667,0,63,1,14,2,1,14,2,53,68,14,42,,,15,53,,,1,1,,1,,,1,,2945,1721,0,0,55,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154951634069625,https://www.facebook.com/ColumbiaMissourian/posts/10154951634069625,Three people were pulled out of rubble to safety after being trapped in a collapsed building in Ecuador for 32 hours. The story comes after a 7.8 magnitude earthquake Saturday in Ecuador killed more than 350 people. http://bit.ly/22JhONs,Link,,,4/18/16 18:21, ,776,776,0,1212,1212,0,6,,1,,,1,,5,8,2,5,,,3,5,,,0,0,,,,,,,1184,744,0,0,6,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154951475574625,https://www.facebook.com/ColumbiaMissourian/posts/10154951475574625,"Columbia Parks and Recreation Department put on its first-ever Yappy Hour event Saturday afternoon with not only games and activities, but also non-alcoholic beer for dogs. What would you call a beer for dogs? http://bit.ly/22Ivnws",Link,,,4/18/16 16:05, ,125,125,0,174,174,0,2,,,,,,,2,4,2,1,,,3,1,,,0,0,,,,,,,149,99,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138832254624_10154951170664625,https://www.facebook.com/ColumbiaMissourian/videos/10154951170664625/,"Aaron Hovis was one of 190 participants who competed in a timbersports competition in Hallsville Saturday. After placing third in the 2015 Collegiate Finals, Hovis proved he was back with vengence in this year's competition. http://bit.ly/22IDBEP",Video,,,4/18/16 14:05, ,5933,5933,0,12222,12222,0,172,1,34,13,1,39,13,155,261,6,145,3,36,7,205,9,40,1,1,,1,,,1,,7856,2663,0,0,36,33998,75,73,0,0,210003,1,0.8943,0.5478,0.4446,0.3401,0.307,0.2866,0.2701,0.228,0.2102,0.2025,0.1949,0.1911,0.1847,0.1783,0.172,0.1631,0.1541,0.149,0.1465,0.1465,0.1439,0.1439,0.1414,0.1363,0.1274,0.1261,0.1223,0.1197,0.1146,0.1108,0.1083,0.1057,0.1057,0.1006,0.0968,0.0955,0.0955,0.0955,0.0892,0.0217,1119,1019,0,0
138832254624_10154951194934625,https://www.facebook.com/ColumbiaMissourian/posts/10154951194934625,THIS WEEK IN PHOTOS: Missourian photographers used creativity and unique angles to capture powerful images of their subjects. http://bit.ly/1pbZ4J9,Link,,,4/18/16 13:10, ,256,256,0,347,347,0,5,,,,,,,5,5,5,,,,5,,,,0,0,,,,,,,327,237,0,0,5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154951061024625,https://www.facebook.com/ColumbiaMissourian/posts/10154951061024625,The Combat Boots and High Heels 5.56K Walk/Run is reader Adrienne Hatcher passion. She shares why she is putting on the event and who the organization aims to serve. http://bit.ly/1pbpZov,Link,,,4/18/16 12:05, ,170,170,0,285,285,0,4,,2,,,2,,2,2,2,,,,2,,,,0,0,,,,,,,266,151,0,0,4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
138832254624_10154950944824625,https://www.facebook.com/ColumbiaMissourian/posts/10154950944824625,An MU student has been arrested in connection with a report of a rape that occurred early Sunday morning.,Link,,,4/18/16 11:05, ,3854,3854,0,7096,7096,0,444,,9,8,,9,8,434,468,420,24,1,,437,30,1,,0,0,,,,,,,5147,2831,0,0,329,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
